Temperature,Pressure,Humidity,Wind Direction,Wind Speed,Weather Description
77.74484882,1016,28,167,4,sky is clear
75.65,1017,21,300,2,sky is clear
62.996,1011,82,150,1,thunderstorm
64.076,1018,52,350,5,sky is clear
61.268,1019,59,350,3,sky is clear
59.018,1019,63,330,2,sky is clear
57.884,1019,63,330,2,sky is clear
54.716,1019,82,200,1,sky is clear
53.672,1020,82,250,2,sky is clear
74.714,1012,69,250,3,sky is clear
72.05,1013,57,250,1,sky is clear
70.826,1012,77,230,3,sky is clear
70.196,1012,77,260,2,sky is clear
71.582,1010,94,210,3,thunderstorm
70.232,1011,94,350,5,thunderstorm
80.15,1006,62,240,7,thunderstorm
75.722,1007,83,290,6,thunderstorm
68.144,1008,73,280,3,sky is clear
68.324,1016,73,350,2,sky is clear
66.74,1016,88,260,2,sky is clear
66.128,1016,88,310,2,sky is clear
64.976,1016,72,330,2,sky is clear
71.006,1018,82,170,2,sky is clear
75.146,1016,64,160,2,sky is clear
73.958,1015,83,160,1,sky is clear
72.77,1015,83,160,1,sky is clear
72.626,1015,88,170,1,sky is clear
71.402,1015,88,170,2,sky is clear
71.528,1015,83,190,3,sky is clear
70.826,1015,83,190,3,sky is clear
75.11,1015,83,190,2,sky is clear
78.206,1015,69,180,4,sky is clear
79.3317659,1018,66,183,3,sky is clear
83.228,1015,51,190,3,sky is clear
85.28,1015,43,200,4,sky is clear
86.954,1014,40,200,3,sky is clear
87.3342581,1013,38,198,3,sky is clear
89.456,1013,33,190,5,sky is clear
76.802,1013,74,210,3,thunderstorm
87.242,1009,43,190,4,thunderstorm
81.986,1008,66,180,4,thunderstorm
78.17,1010,61,300,4,thunderstorm
77.4212,999,66,268,5,sky is clear
77.4212,999,66,268,5,sky is clear
77.4212,999,66,268,5,sky is clear
72.8942,1000,71,268,4,sky is clear
72.8942,1000,71,268,4,sky is clear
72.8942,1000,71,268,4,sky is clear
70.502,1000,76,259,3,sky is clear
70.502,1000,76,259,3,sky is clear
70.502,1000,76,259,3,sky is clear
69.7082,1001,81,259,3,sky is clear
69.7082,1001,81,259,3,sky is clear
69.7082,1001,81,259,3,sky is clear
70.9592,1002,78,254,3,sky is clear
70.9592,1002,78,254,3,sky is clear
70.9592,1002,78,254,3,sky is clear
63.5666,1005,100,17,2,sky is clear
63.5666,1005,100,17,2,sky is clear
63.5666,1005,100,17,2,sky is clear
